Photon   	Coherent	Incoher.	Photoel.	
Energy   	Scatter.	Scatter.	Absorb. 	

1.000E-03	4.304E+03	1.234E+00	1.788E+06	
1.500E-03	4.132E+03	2.271E+00	8.066E+05	
2.000E-03	3.935E+03	3.310E+00	4.383E+05	
2.484E-03	3.742E+03	4.266E+00	2.718E+05	
2.484E-03	3.742E+03	4.266E+00	4.765E+05	
2.534E-03	3.722E+03	4.364E+00	5.629E+05	
2.586E-03	3.701E+03	4.463E+00	6.650E+05	
2.586E-03	3.701E+03	4.463E+00	8.392E+05	
3.000E-03	3.533E+03	5.246E+00	6.725E+05	
3.066E-03	3.507E+03	5.369E+00	6.354E+05	
3.066E-03	3.507E+03	5.369E+00	7.349E+05	
3.301E-03	3.416E+03	5.793E+00	6.130E+05	
3.554E-03	3.321E+03	6.238E+00	5.113E+05	
3.554E-03	3.321E+03	6.238E+00	5.419E+05	
3.699E-03	3.267E+03	6.491E+00	4.927E+05	
3.851E-03	3.212E+03	6.753E+00	4.479E+05	
3.851E-03	3.212E+03	6.753E+00	4.674E+05	
4.000E-03	3.158E+03	7.009E+00	4.273E+05	
5.000E-03	2.824E+03	8.655E+00	2.485E+05	
6.000E-03	2.533E+03	1.022E+01	1.582E+05	
8.000E-03	2.065E+03	1.310E+01	7.660E+04	
1.000E-02	1.714E+03	1.562E+01	4.322E+04	
1.304E-02	1.325E+03	1.870E+01	2.171E+04	
1.304E-02	1.325E+03	1.870E+01	5.443E+04	
1.500E-02	1.138E+03	2.037E+01	3.723E+04	
1.520E-02	1.121E+03	2.052E+01	3.594E+04	
1.520E-02	1.121E+03	2.052E+01	4.996E+04	
1.553E-02	1.094E+03	2.077E+01	4.748E+04	
1.586E-02	1.068E+03	2.103E+01	4.514E+04	
1.586E-02	1.068E+03	2.103E+01	5.218E+04	
2.000E-02	8.044E+02	2.373E+01	2.889E+04	
3.000E-02	4.738E+02	2.831E+01	9.929E+03	
4.000E-02	3.166E+02	3.103E+01	4.593E+03	
5.000E-02	2.252E+02	3.261E+01	2.509E+03	
6.000E-02	1.686E+02	3.349E+01	1.525E+03	
8.000E-02	1.059E+02	3.414E+01	6.924E+02	
8.800E-02	9.055E+01	3.416E+01	5.324E+02	
8.800E-02	9.055E+01	3.416E+01	2.519E+03	
1.000E-01	7.320E+01	3.404E+01	1.802E+03	
1.500E-01	3.610E+01	3.263E+01	6.244E+02	
2.000E-01	2.154E+01	3.085E+01	2.912E+02	
3.000E-01	1.028E+01	2.765E+01	1.008E+02	
4.000E-01	6.008E+00	2.515E+01	4.876E+01	
5.000E-01	3.934E+00	2.317E+01	2.841E+01	
6.000E-01	2.773E+00	2.155E+01	1.860E+01	
8.000E-01	1.590E+00	1.905E+01	9.878E+00	
1.000E+00	1.029E+00	1.718E+01	6.226E+00	
